Part Time JOB App Review,,,
,Review (positive & Negative),   Liked,
1,This application is very good,,1
2,I cannot find my previous location it’s bad,,0
3,Sometimes it takes too long to open the map,,0
4,I easily find part time work here,,1
5,It’s not that secure,,0
6,I can show my talent and make benefit from it,,1
7,Map location finding it’s a best feature,,1
8,The payment process needs to be upgraded,,0
9,The work done process need a good new feature,,0
10,Wow they added a new feature that I can post my work,,1
11,The KYC option is not accepting my pan card,,0
12,"This app surprise me more and its recommendation is 
nice",,1
13,They should add filter mode ,,0
14,I found many times my work profile is not highlighted,,0
15,They added a new short video mode which is best ,,1
16,"Short video mode is very helpful that I can post my 
work ",,1
17,In my mobile its browse faster and its delightful ,,1
18,"The finding job mode on map location is too messy 
sometimes that I can’t locate and continue",,0
19,The UI design is not that good for me. I expected more,,0
20,I always find difficulties in adding the UPI mode ,,0
21,Oh my god now I can show my talent here,,1
22,"High network needed for load, it’s only for city area",,0
23,"How can I trust these people which I don’t know who
are they and it’s kind of insecure.",,0
24,"When I get back from job, I can do another part time 
job to get extra money it’s really useful",,1
25,"The direction mode is very clean as same as the
google map ",,1
26,Now I can make my own pocket money ,,1
27,"Now I can share my talent whoever I want and make 
benefit from it",,1
28,"The token mode is fire because now I can verify my 
account and get trusted by others",,1
29,"The collection of token is very difficult that you have to 
reviewed by many person opinion .",,0
30,"They should add a direct verify account so that I can 
easily trusted",,0
31,"I don’t understand why they are not added the danger 
areas which is not secured for girls",,0
32,"They added the many works precisely that we can 
found easily by that",,1
33,"This is the best app I ever witnessed the features and 
the work profile just killing!! ",,1
34,"Please don’t add that much ad on the app. We feel 
disturbed by that",,0
Part Time JOB App Review,,
35,The premium membership is cheaper and best,1
